Date,product_category_name,total_pedidos,ticket_medio,ticket_mediana,parcelas_media,parcelas_mediana,faturamento_total
2017-03-01,papelaria,34,121.50117647058823,82.4,3.911764705882353,3.0,4131.04
2017-03-01,perfumaria,79,208.23582278481015,198.9,4.7974683544303796,4.0,16450.63
2017-03-01,pet_shop,32,243.2240625,109.945,4.5625,2.5,7783.17
2017-03-01,relogios_presentes,62,411.08903225806455,187.575,4.290322580645161,4.0,25487.52
2017-03-01,sinalizacao_e_seguranca,1,75.0,75.0,3.0,3.0,75.0
2017-03-01,tablets_impressao_imagem,3,99.0,99.0,4.666666666666667,3.0,297.0
2017-03-01,telefonia,109,51.90064220183486,29.99,2.5596330275229358,1.0,5657.17
2017-03-01,telefonia_fixa,12,118.7975,36.49,3.0,2.5,1425.57
2017-03-01,utilidades_domesticas,121,78.88446280991735,50.63,3.4710743801652892,3.0,9545.02
2017-04-01,alimentos,8,61.4125,67.0,3.625,2.0,491.3
2017-04-01,alimentos_bebidas,2,23.95,23.95,3.0,3.0,47.9
2017-04-01,artes,1,119.9,119.9,2.0,2.0,119.9
2017-04-01,artigos_de_natal,1,69.0,69.0,3.0,3.0,69.0
2017-04-01,audio,7,104.75714285714287,89.9,3.0,2.0,733.3000000000001
2017-04-01,automotivo,59,210.8086440677966,137.0,4.169491525423729,3.0,12437.71
2017-04-01,bebes,32,85.128125,79.9,3.3125,3.0,2724.1
2017-04-01,bebidas,2,99.965,99.965,5.5,5.5,199.93
2017-04-01,beleza_saude,129,144.42131782945737,69.9,4.170542635658915,3.0,18630.35
2017-04-01,brinquedos,92,122.64108695652173,85.94,3.1739130434782608,2.0,11282.98
2017-04-01,cama_mesa_banho,193,111.7656994818653,89.9,4.22279792746114,4.0,21570.780000000002
2017-04-01,casa_conforto,14,164.09285714285716,135.4,5.142857142857143,5.0,2297.3
2017-04-01,casa_conforto_2,1,12.9,12.9,2.0,2.0,12.9
2017-04-01,casa_construcao,4,245.6475,132.495,4.25,3.0,982.59
2017-04-01,cine_foto,1,59.0,59.0,7.0,7.0,59.0
2017-04-01,climatizacao,10,225.253,100.15,3.5,2.0,2252.5299999999997
2017-04-01,consoles_games,11,312.75,67.0,3.090909090909091,1.0,3440.25
2017-04-01,construcao_ferramentas_ferramentas,1,729.0,729.0,1.0,1.0,729.0
2017-04-01,construcao_ferramentas_jardim,5,283.88,119.8,5.0,1.0,1419.3999999999999
2017-04-01,cool_stuff,95,200.5558947368421,129.99,4.221052631578948,3.0,19052.81
2017-04-01,dvds_blu_ray,1,1420.0,1420.0,1.0,1.0,1420.0
2017-04-01,eletrodomesticos,6,61.300000000000004,32.9,1.8333333333333333,1.0,367.8
2017-04-01,eletrodomesticos_2,2,399.9,399.9,4.0,4.0,799.8
2017-04-01,eletronicos,29,75.59172413793102,48.99,3.0344827586206895,2.0,2192.16
2017-04-01,eletroportateis,15,1701.7326666666668,447.0,6.866666666666666,8.0,25525.99
2017-04-01,esporte_lazer,161,139.26527950310557,96.0,3.4968944099378882,2.0,22421.71
2017-04-01,fashion_bolsas_e_acessorios,31,74.59096774193549,54.9,3.064516129032258,2.0,2312.32
2017-04-01,fashion_calcados,17,76.63529411764705,74.9,3.6470588235294117,3.0,1302.8
2017-04-01,fashion_esporte,3,41.596666666666664,49.9,2.6666666666666665,1.0,124.78999999999999
2017-04-01,fashion_roupa_feminina,1,129.89,129.89,2.0,2.0,129.89
2017-04-01,fashion_roupa_masculina,4,90.45,74.85,2.75,2.0,361.8
2017-04-01,fashion_underwear_e_moda_praia,3,24.599999999999998,5.9,1.0,1.0,73.8
2017-04-01,ferramentas_jardim,71,204.3829577464789,99.9,3.76056338028169,3.0,14511.19
2017-04-01,informatica_acessorios,83,191.08578313253014,79.0,3.783132530120482,3.0,15860.12
2017-04-01,instrumentos_musicais,8,261.565,279.27,5.25,4.5,2092.52
2017-04-01,livros_importados,1,32.489999999999995,32.489999999999995,3.0,3.0,32.489999999999995
2017-04-01,livros_interesse_geral,10,74.958,53.9,3.3,3.0,749.5799999999999
2017-04-01,malas_acessorios,32,157.021875,139.9,4.5,3.0,5024.7
2017-04-01,market_place,14,107.83500000000001,62.8,4.0,3.5,1509.69
2017-04-01,moveis_cozinha_area_de_servico_jantar_e_jardim,5,177.34,108.9,5.6,4.0,886.7
2017-04-01,moveis_decoracao,135,122.13481481481482,69.9,3.7555555555555555,3.0,16488.2
2017-04-01,moveis_escritorio,34,209.57588235294116,178.45499999999998,5.0,3.5,7125.58
2017-04-01,moveis_quarto,3,216.32333333333335,229.0,4.333333333333333,5.0,648.97
2017-04-01,moveis_sala,10,157.434,116.935,3.0,2.5,1574.34
2017-04-01,musica,2,29.9,29.9,2.0,2.0,59.8
2017-04-01,papelaria,25,139.096,69.9,3.68,3.0,3477.4
2017-04-01,pc_gamer,2,129.99,129.99,2.0,2.0,259.98
2017-04-01,perfumaria,92,204.8536956521739,196.995,4.673913043478261,4.0,18846.54
2017-04-01,pet_shop,39,127.39794871794872,99.9,3.2051282051282053,2.0,4968.52
2017-04-01,relogios_presentes,66,267.19939393939393,198.95,5.106060606060606,5.0,17635.16
2017-04-01,sinalizacao_e_seguranca,2,26.53,26.53,1.5,1.5,53.06
2017-04-01,tablets_impressao_imagem,6,110.48166666666667,99.0,3.3333333333333335,2.5,662.89
2017-04-01,telefonia,92,49.65478260869565,19.99,2.2065217391304346,2.0,4568.24
2017-04-01,telefonia_fixa,4,35.22,36.49,3.25,3.0,140.88
2017-04-01,utilidades_domesticas,104,114.0653846153846,84.945,3.9423076923076925,3.0,11862.8
2017-05-01,agro_industria_e_comercio,3,329.98333333333335,59.99,4.666666666666667,3.0,989.95
2017-05-01,alimentos,2,134.45,134.45,3.5,3.5,268.9
2017-05-01,alimentos_bebidas,5,40.242,27.9,2.4,2.0,201.20999999999998
2017-05-01,artes,5,55.77,48.65,4.0,3.0,278.85
2017-05-01,audio,13,126.34461538461538,89.9,3.5384615384615383,3.0,1642.48
2017-05-01,automotivo,81,182.88987654320988,117.3,4.506172839506172,3.0,14814.08
2017-05-01,bebes,85,91.28752941176471,61.9,3.4941176470588236,2.0,7759.4400000000005
2017-05-01,bebidas,1,90.0,90.0,1.0,1.0,90.0
2017-05-01,beleza_saude,206,175.46495145631067,91.445,4.077669902912621,3.0,36145.78
2017-05-01,brinquedos,149,119.32778523489932,89.9,3.563758389261745,3.0,17779.84
2017-05-01,cama_mesa_banho,255,110.19278431372548,89.9,4.780392156862745,4.0,28099.16
2017-05-01,casa_conforto,26,160.595,89.9,5.653846153846154,4.0,4175.47
2017-05-01,casa_construcao,4,398.15,372.55,7.75,8.5,1592.6
2017-05-01,climatizacao,5,162.55599999999998,161.99,6.6,10.0,812.78
2017-05-01,consoles_games,19,108.54842105263158,69.9,2.736842105263158,2.0,2062.42
2017-05-01,construcao_ferramentas_construcao,1,99.99,99.99,10.0,10.0,99.99
2017-05-01,construcao_ferramentas_ferramentas,1,729.0,729.0,10.0,10.0,729.0
2017-05-01,construcao_ferramentas_jardim,6,262.87333333333333,124.85,5.0,4.5,1577.24
2017-05-01,cool_stuff,186,141.04623655913977,119.99,4.209677419354839,4.0,26234.6
2017-05-01,dvds_blu_ray,3,19.9,19.9,1.0,1.0,59.699999999999996
2017-05-01,eletrodomesticos,21,79.29523809523809,69.9,2.238095238095238,2.0,1665.2
2017-05-01,eletrodomesticos_2,9,343.6711111111111,129.0,4.222222222222222,2.0,3093.04
2017-05-01,eletronicos,49,113.67795918367348,59.95,3.4489795918367347,3.0,5570.22
2017-05-01,eletroportateis,13,295.49615384615385,129.9,5.230769230769231,3.0,3841.45
2017-05-01,esporte_lazer,204,139.66210784313725,85.45,3.8137254901960786,3.0,28491.07
2017-05-01,fashion_bolsas_e_acessorios,67,87.13671641791045,49.9,3.1194029850746268,2.0,5838.16
2017-05-01,fashion_calcados,18,67.55222222222223,35.9,2.6666666666666665,2.0,1215.94
2017-05-01,fashion_esporte,2,49.94,49.94,2.5,2.5,99.88
2017-05-01,fashion_roupa_feminina,4,70.525,54.9,4.5,3.0,282.1
2017-05-01,fashion_roupa_infanto_juvenil,1,110.0,110.0,1.0,1.0,110.0
2017-05-01,fashion_roupa_masculina,3,202.9666666666667,110.9,4.333333333333333,2.0,608.9000000000001
2017-05-01,fashion_underwear_e_moda_praia,2,98.95,98.95,1.5,1.5,197.9
2017-05-01,ferramentas_jardim,94,189.7360638297872,119.995,5.0638297872340425,5.0,17835.19
2017-05-01,industria_comercio_e_negocios,2,259.9,259.9,6.0,6.0,519.8
2017-05-01,informatica_acessorios,190,154.69636842105263,89.0,3.6052631578947367,3.0,29392.31
2017-05-01,instrumentos_musicais,15,747.3186666666666,379.99,4.466666666666667,3.0,11209.779999999999
2017-05-01,la_cuisine,1,193.0,193.0,10.0,10.0,193.0
2017-05-01,livros_interesse_geral,15,106.99933333333334,119.5,4.6,5.0,1604.99
